Name,LTP (NAV),Change(%),Asset (Cr.),Volume,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,Exp Ratio,Margin Funding,Margin Pledge
"SBI Nifty 50 ETF","265.32","1.01%","71,521.98","4,83,139","277.16","227.33","0.87%","-2.45%","-2.61%","51.93%","125.25%","0.04%","80.00%","94.00%"
"UTI Nifty 50 ETF","273.25","1.13%","64,153.70","51,435","284.45","235.00","1.05%","-2.39%","-2.55%","51.75%","125.18%","0.05%","80.00%","-"
"Nippon Nifty 50 ETF (NIFTYBEES)","280.51","1.08%","50,840.09","49,24,597","295.30","231.30","0.84%","-2.21%","-2.69%","52.24%","130.66%","0.04%","80.00%","94.00%"
"UTI Sensex ETF","890.64","0.75%","50,119.98","50,871","939.70","779.95","0.61%","-2.93%","-3.03%","47.65%","119.80%","0.05%","80.00%","-"
"CPSE ETF","92.74","0.42%","33,173.11","8,93,109","101.80","74.90","4.18%","-1.56%","-8.12%","164.59%","463.08%","0.07%","73.50%","80.00%"
"ICICI Pru Nifty 50 ETF","279.32","1.08%","32,366.70","8,21,310","328.24","234.97","0.86%","-2.13%","-2.57%","22.17%","22.17%","0.02%","80.00%","94.00%"
"Nippon Gold ETF (GOLDBEES)","97.63","1.86%","28,691.07","3,54,28,401","97.74","61.67","12.72%","20.46%","53.53%","126.31%","121.38%","0.80%","73.50%","80.00%"
"Edelweiss Bharat Bond April 2030 ETF","1,537.11","-0.10%","25,306.74","50,370","1,579.38","1,232.00","0.56%","1.20%","8.11%","27.20%","39.54%","0.01%","73.50%","80.00%"
"ICICI Pru Sensex ETF","924.68","0.94%","23,024.60","95,731","980.00","812.04","0.81%","-2.70%","-2.80%","19.83%","19.83%","0.02%","80.00%","-"
"ICICI Pru Bharat 22 ETF","111.02","0.43%","15,917.37","3,10,924","124.00","93.02","4.39%","0.41%","-7.78%","117.90%","353.51%","0.07%","73.50%","80.00%"
"Nippon Silver ETF (SILVERBEES)","139.87","2.79%","14,512.68","3,00,50,148","140.61","77.55","17.94%","35.24%","59.54%","145.90%","126.44%","0.56%","73.50%","80.00%"
"Edelweiss Bharat Bond April 2031 ETF","1,376.87","0.11%","13,098.65","3,078","1,410.12","1,265.51","0.87%","1.21%","7.90%","28.20%","38.66%","0.01%","73.50%","80.00%"
"HDFC Gold ETF","100.89","1.66%","12,973.07","1,00,76,627","100.85","63.60","12.81%","20.60%","53.98%","94.66%","123.65%","0.59%","73.50%","80.00%"
"SBI Gold ETF","100.79","1.66%","12,321.56","2,39,04,875","100.97","62.85","12.74%","20.52%","53.88%","126.60%","123.43%","0.70%","73.50%","80.00%"
"Motilal Oswal Nasdaq 100 ETF","221.51","-0.39%","11,183.70","15,43,910","225.00","159.20","8.76%","15.32%","34.68%","144.28%","167.62%","0.58%","80.00%","91.67%"
"Nippon India Nifty Liquid ETF","1,000.00","-","10,803.35","81,77,933","1,030.00","970.00","-","-","-","-","-","0.69%","80.00%","94.00%"
"ICICI Pru Gold ETF","101.33","1.77%","10,639.35","93,53,732","102.50","63.51","12.93%","21.14%","54.63%","83.40%","83.40%","0.50%","73.50%","80.00%"
"Edelweiss Bharat Bond April 2032 ETF","1,293.40","0.04%","10,590.96","1,672","1,323.24","1,193.09","0.82%","1.16%","8.24%","28.20%","29.02%","0.01%","73.50%","80.00%"
"ICICI Pru Silver ETF","145.17","2.28%","9,810.73","1,36,21,798","147.95","86.01","17.65%","34.60%","59.14%","86.57%","86.57%","0.40%","73.50%","80.00%"
"Kotak Gold ETF","98.42","2.31%","8,488.05","40,25,941","98.19","62.07","12.52%","20.49%","53.45%","58.46%","122.77%","0.55%","73.50%","80.00%"
"Nippon Nifty Bank ETF (BANKBEES)","571.39","1.42%","7,544.59","10,03,091","596.00","490.00","2.41%","-3.34%","4.97%","48.07%","155.42%","0.19%","73.50%","80.00%"
"Nippon Nifty Next 50 Junior Bees - ETF","731.26","0.19%","6,645.49","3,72,893","828.85","595.00","2.07%","-0.71%","-11.02%","66.75%","157.66%","0.17%","80.00%","93.53%"
"Edelweiss Bharat Bond April 2033 ETF","1,256.49","0.08%","6,350.36","2,029","1,288.86","1,147.84","0.81%","0.94%","7.71%","25.33%","25.33%","0.01%","73.50%","80.00%"
"Zerodha Liquid ETF (LIQUIDCASE)","110.70","0.03%","5,494.23","1,36,80,771","113.08","101.45","0.44%","1.30%","5.82%","10.46%","10.46%","0.27%","80.00%","94.00%"
"HDFC Nifty Bank ETF","56.70","1.00%","5,429.46","35,872","59.49","48.51","2.14%","-3.34%","4.98%","48.27%","157.03%","0.16%","73.50%","-"
"Kotak Nifty Bank ETF","573.69","1.69%","5,131.62","97,924","651.60","490.15","2.79%","-3.10%","5.10%","20.70%","20.70%","0.15%","73.50%","-"
"Nippon Nifty SDL26 T20 ETF (SDL26BEES)","132.98","-0.41%","5,049.12","2,325","137.34","124.13","0.20%","1.06%","6.69%","23.60%","31.36%","0.20%","80.00%","-"
"Mirae Asset Nifty 50 ETF","267.99","0.93%","4,520.21","1,39,731","277.78","226.00","0.86%","-2.39%","-2.55%","30.87%","30.87%","0.04%","80.00%","91.00%"
"HDFC Nifty 50 ETF","277.24","0.92%","4,386.89","1,45,732","292.09","240.55","0.68%","-2.45%","-2.66%","35.73%","131.11%","0.05%","80.00%","-"
"Mirae Asset NYSE FANG+ ETF","169.52","0.24%","4,192.29","4,23,991","171.78","93.16","5.21%","18.38%","78.86%","331.68%","239.86%","0.65%","70.95%","80.00%"
"SBI Nifty Bank ETF","566.90","1.44%","3,933.42","6,46,328","596.30","485.00","2.42%","-3.31%","5.01%","48.28%","156.12%","0.19%","73.50%","80.00%"
"ICICI Pru Nifty 100 Low Vol 30 ETF","21.98","0.41%","3,716.45","7,24,290","24.10","19.03","-2.05%","-0.23%","-5.95%","60.79%","127.54%","0.41%","80.00%","90.00%"
"UTI Nifty Bank ETF","57.16","1.29%","3,641.09","2,94,505","60.40","48.71","2.62%","-3.23%","5.50%","48.97%","159.23%","0.17%","73.50%","-"
"ICICI Pru Nifty Private Bank ETF","27.22","1.87%","3,279.37","9,82,974","29.21","22.23","2.64%","-4.02%","2.29%","40.16%","120.94%","0.15%","73.50%","80.00%"
"SBI Nifty 10 Year G-Sec ETF","257.90","0.19%","3,262.53","14,827","265.21","237.00","0.82%","0.17%","7.34%","28.95%","29.02%","0.14%","80.00%","90.00%"
"Nippon Nifty PSU Bank ETF (PSUBNKBEES)","83.75","-0.23%","3,210.14","39,29,073","84.41","61.54","10.05%","3.34%","11.09%","159.13%","489.37%","0.49%","72.34%","80.00%"
"Kotak Nifty 50 ETF","272.99","0.76%","3,159.92","92,620","320.00","238.25","1.07%","-2.32%","-2.77%","15.00%","15.00%","0.04%","80.00%","-"
"Aditya Birla Nifty 50 ETF","28.82","0.88%","3,033.19","6,73,465","30.45","20.37","0.73%","-2.47%","-2.57%","51.29%","131.30%","0.04%","80.00%","-"
"ICICI Pru Bank Nifty ETF","56.62","1.09%","3,011.00","6,19,039","60.79","47.53","2.26%","-3.28%","5.05%","20.80%","156.32%","0.15%","73.50%","80.00%"
"Nippon 8-13 Year G-Sec ETF (LTGILTBEES)","28.86","-","2,741.75","30,85,270","29.76","26.60","1.09%","-","7.21%","27.93%","31.78%","0.10%","80.00%","90.00%"
"Nippon Nifty MC 150 ETF (MID150BEES)","218.97","0.67%","2,689.94","4,89,075","235.65","179.00","0.45%","-3.11%","-4.90%","86.75%","232.98%","0.21%","80.00%","93.66%"
"Aditya Birla Nifty Bank ETF","56.61","1.56%","2,678.08","7,91,535","60.06","47.55","2.50%","-3.15%","5.14%","48.54%","165.40%","0.14%","73.50%","-"
"Axis Gold ETF","99.29","2.54%","2,604.45","16,81,795","98.67","62.01","13.32%","21.50%","55.14%","129.41%","126.17%","0.50%","73.50%","80.00%"
"UTI Gold ETF","99.05","1.75%","2,580.52","10,51,619","99.55","62.20","12.68%","20.79%","54.28%","129.81%","116.83%","0.48%","73.50%","80.00%"
"Nippon Nifty IT ETF (ITBEES)","37.16","1.12%","2,577.85","69,82,213","49.76","33.63","-4.62%","-11.98%","-17.95%","34.10%","83.96%","0.22%","73.50%","80.00%"
"DSP BSE Liquid ETF","1,093.40","0.03%","2,368.18","9,30,330","1,121.66","1,017.64","0.43%","1.29%","5.79%","9.07%","9.07%","0.30%","80.00%","94.00%"
"HDFC Silver ETF","140.30","2.38%","2,259.13","86,64,899","142.70","83.13","17.76%","35.20%","59.47%","145.71%","165.27%","0.45%","73.50%","80.00%"
"SBI Nifty Next 50 ETF","725.20","0.34%","2,201.89","28,124","823.59","585.51","2.25%","-0.74%","-11.20%","66.82%","158.75%","0.12%","80.00%","-"
"LIC Nifty 10 Year G-Sec ETF","28.32","0.07%","2,174.62","7,503","30.00","26.00","0.93%","-0.07%","6.75%","25.87%","34.15%","0.17%","80.00%","90.00%"
"Kotak Silver ETF","141.33","2.55%","2,014.40","16,00,688","144.30","81.80","17.76%","35.15%","58.98%","69.26%","69.26%","0.45%","73.50%","-"
"UTI Nifty Next 50 ETF","72.99","0.19%","2,010.63","1,87,314","82.65","59.90","2.18%","-0.71%","-11.23%","67.25%","164.07%","0.15%","80.00%","-"
"Kotak Nifty PSU Bank ETF","748.44","-0.29%","1,797.56","21,295","768.95","552.00","9.45%","3.04%","11.23%","10.71%","10.71%","0.49%","72.12%","-"
"ICICI Pru Nifty Alpha Low Volatility 30","27.07","0.86%","1,762.02","3,39,761","32.39","24.00","-0.26%","-3.04%","-15.59%","58.40%","122.43%","0.41%","80.00%","90.00%"
"ICICI Pru Nifty Next 50 ETF","71.52","0.28%","1,740.20","9,86,381","81.64","58.70","2.10%","-0.74%","-10.92%","36.78%","36.78%","0.10%","80.00%","93.60%"
"ICICI Pru BSE Liquid ETF","999.99","-","1,736.28","9,29,075","1,029.99","969.99","-","-","-","-","-","0.31%","80.00%","94.00%"
"SBI Silver ETF","143.21","1.60%","1,696.20","63,12,362","144.99","84.75","17.86%","34.77%","59.94%","56.43%","56.43%","0.40%","73.50%","-"
"Aditya Birla Gold ETF","104.65","2.55%","1,530.85","7,79,375","104.77","56.57","13.39%","21.93%","55.71%","129.09%","125.73%","0.47%","73.50%","-"
"Aditya Birla Silver ETF","146.02","2.32%","1,486.97","19,47,124","149.15","86.30","18.71%","35.40%","60.27%","136.09%","130.24%","0.35%","73.50%","80.00%"
"HDFC Nifty Small Cap 250 ETF","169.89","1.25%","1,445.71","11,09,417","189.00","135.21","0.66%","-4.80%","-8.87%","81.74%","81.74%","0.20%","80.00%","93.00%"
"Tata Gold ETF","11.43","1.15%","1,362.95","5,45,95,582","12.13","7.11","12.28%","20.32%","53.42%","60.99%","60.99%","0.38%","73.50%","80.00%"
"DSP Silver ETF","140.49","2.62%","1,351.26","6,11,160","141.40","83.30","17.80%","34.79%","59.34%","106.33%","106.33%","0.40%","73.50%","-"
"Nippon Hang Seng ETF (HNGSNGBEES)","531.78","1.90%","1,254.29","1,18,293","529.80","309.05","11.31%","37.80%","39.66%","109.74%","64.09%","0.93%","77.53%","87.98%"
"Kotak Nifty Liquid ETF","1,071.22","0.03%","1,235.73","4,23,419","1,094.00","1,006.15","0.44%","1.32%","5.93%","7.12%","7.12%","0.19%","80.00%","94.00%"
"Mirae Asset Nifty Midcap 150 ETF","21.59","0.75%","1,224.84","40,15,366","23.50","16.00","0.42%","-3.10%","-4.64%","44.71%","44.71%","0.05%","80.00%","93.40%"
"Mirae Asset Gold ETF","114.81","1.86%","1,205.65","24,57,956","114.99","72.60","12.79%","20.70%","53.96%","93.94%","93.94%","0.31%","73.50%","80.00%"
"Mirae Asset S&P 500 Top 50 ETF","68.38","0.22%","1,153.05","1,15,388","68.66","36.48","5.14%","23.10%","55.30%","175.06%","143.87%","0.60%","78.38%","-"
"Axis Nifty AAA Bond + SDL Apr26 ETF","12.96","0.39%","1,104.06","36,471","14.00","11.00","0.62%","1.65%","7.46%","23.78%","28.19%","0.28%","73.50%","-"
"DSP Gold ETF","114.74","2.05%","1,096.71","4,89,237","115.14","72.01","12.70%","20.63%","53.97%","87.58%","87.58%","0.45%","73.50%","-"
"Axis Nifty 50 ETF","272.20","0.74%","1,005.02","8,422","287.92","236.80","0.75%","-2.62%","-2.83%","51.58%","130.81%","0.04%","80.00%","-"
"Nippon Pharma ETF (PHARMABEES)","22.31","1.36%","996.72","59,17,188","24.65","19.47","-0.13%","-0.80%","-6.22%","68.00%","53.97%","0.21%","73.50%","80.00%"
"HDFC Sensex ETF","90.89","0.50%","954.65","17,573","95.28","80.55","0.49%","-3.13%","-3.30%","46.98%","121.74%","0.05%","80.00%","-"
"LIC Nifty 50 ETF","276.37","0.72%","871.00","235","326.00","239.65","1.38%","-1.85%","-8.46%","51.97%","137.92%","0.06%","80.00%","-"
"Mirae Asset Nifty Next 50 ETF","698.84","0.41%","822.29","17,152","899.00","573.45","2.14%","-0.67%","-11.05%","53.96%","53.96%","0.05%","80.00%","-"
"ICICI Pru BSE Liquid Rate ETF","1,030.50","0.03%","811.40","2,43,753","1,045.35","1,001.47","0.44%","1.31%","2.90%","2.90%","2.90%","0.25%","80.00%","94.00%"
"Bajaj Finserv Nifty 1D Rate Liq ETF","1,050.41","0.03%","800.76","8,21,734","1,207.50","810.00","0.42%","1.29%","5.04%","5.04%","5.04%","0.19%","80.00%","94.00%"
"Motilal Oswal Nifty India Defence ETF","87.69","1.69%","799.73","19,12,004","102.00","55.21","5.27%","-10.34%","20.72%","13.82%","13.82%","0.41%","72.26%","80.00%"
"LIC Sensex ETF","908.73","0.40%","749.90","62","989.00","783.28","1.29%","-2.53%","-2.81%","47.01%","127.18%","0.11%","-","-"
"LIC Nifty 100 ETF","279.29","1.11%","748.37","982","298.00","242.47","1.90%","-1.73%","-1.92%","51.97%","138.10%","0.28%","-","-"
"Tata Nifty 50 ETF","271.58","-0.82%","725.61","5,389","281.58","227.05","2.17%","-1.04%","-1.37%","53.97%","107.20%","0.06%","80.00%","-"
"DSP Nifty Top 10 Equal Weight ETF","94.54","1.10%","720.85","4,76,403","103.43","86.50","0.28%","-5.82%","-3.85%","-2.53%","-2.53%","0.15%","73.50%","-"
"LIC Nifty Midcap 100 ETF","57.14","0.23%","710.19","2,962","67.50","46.03","-10.09%","-4.72%","-5.13%","17.91%","17.91%","0.16%","80.00%","-"
"LIC Gold ETF","10,895.00","4.41%","709.24","11,232","11,477.00","6,690.00","14.91%","23.60%","57.80%","100.56%","100.56%","0.41%","73.50%","-"
"HDFC Nifty Private Bank ETF","27.42","2.16%","705.79","1,60,752","29.39","23.66","2.47%","-4.16%","2.08%","24.18%","24.18%","0.15%","73.50%","-"
"Kotak Nifty Alpha 50 ETF","47.35","0.83%","705.17","23,04,735","60.91","39.00","-1.54%","-7.88%","-18.56%","65.85%","38.49%","0.30%","80.00%","91.84%"
"Mirae Ast Nifty Smallcap 250 MQ 100 ETF","45.05","1.05%","687.37","9,85,508","54.70","37.45","0.31%","-6.55%","-15.53%","0.49%","0.49%","0.47%","80.00%","92.57%"
"Motilal Oswal Midcap 100 ETF","61.39","0.97%","677.77","2,97,155","66.01","50.30","0.29%","-4.29%","-5.01%","91.43%","241.62%","0.23%","80.00%","93.25%"
"DSP Nifty Bank ETF","56.43","1.02%","653.92","10,344","61.00","46.50","2.21%","-3.52%","5.04%","21.93%","21.93%","0.15%","73.50%","-"
"ICICI Pru Nifty FMCG ETF","58.84","0.74%","647.68","5,97,786","69.67","53.00","-1.85%","1.15%","-14.40%","32.46%","61.21%","0.20%","73.50%","80.00%"
"Kotak MSCI India ETF","29.45","0.75%","617.40","7,542","31.13","25.60","0.96%","-3.06%","10.34%","10.34%","10.34%","0.40%","80.00%","-"
"DSP Nifty 50 Equal Weight ETF","329.57","0.60%","608.77","5,176","346.64","280.01","1.29%","-0.48%","-3.97%","16.44%","16.44%","0.20%","80.00%","-"
"Zerodha Gold ETF (GOLDCASE)","18.55","2.20%","599.53","92,26,344","18.88","11.00","12.36%","20.45%","53.81%","83.66%","83.66%","0.32%","73.50%","80.00%"
"Axis Silver ETF","145.09","2.40%","586.26","13,48,221","148.88","85.51","17.98%","35.08%","59.28%","149.25%","164.96%","0.37%","73.50%","-"
"TATA Silver ETF","14.16","2.53%","585.73","2,89,51,046","14.65","8.15","17.51%","35.24%","59.10%","75.25%","75.25%","0.44%","73.50%","80.00%"
"ICICI Pru Nifty 200 Momentum 30 ETF","30.74","1.09%","582.66","20,74,595","39.42","25.00","0.29%","-5.42%","-20.18%","15.04%","15.04%","0.30%","80.00%","92.93%"
"Mirae Asset Hang Seng Tech ETF","29.00","2.11%","561.76","4,58,685","29.23","16.91","13.64%","32.42%","50.96%","133.68%","47.66%","0.56%","67.63%","-"
"ICICI Pru Nifty 10 Year G-Sec ETF","257.36","-0.05%","549.88","40","265.36","237.01","0.86%","-0.44%","6.37%","15.80%","15.80%","0.14%","80.00%","-"
"UTI Silver ETF","141.80","2.24%","548.10","26,02,383","144.34","84.05","18.02%","35.46%","59.34%","68.61%","68.61%","0.53%","73.50%","80.00%"
"SBIAMC - SBIBPB","43.76","0.14%","527.50","27,408","48.80","34.37","9.87%","3.33%","21.29%","21.29%","21.29%","0.25%","73.50%","-"
"ICICI Pru Nifty Midcap 150 ETF","21.89","0.78%","513.28","15,25,496","23.60","17.80","0.55%","-3.14%","-4.95%","85.04%","235.22%","0.15%","80.00%","93.64%"
"SBI Nifty Private Bank ETF","274.39","1.89%","499.58","3,903","293.70","235.89","2.41%","-4.27%","1.94%","39.04%","103.55%","0.15%","73.50%","-"
"Mirae Asset Nifty Liquid ETF","999.99","-","483.18","2,17,105","1,030.00","990.00","-","-","-","-","-","0.26%","80.00%","94.00%"
"ICICI Prudential IT ETF","36.99","0.71%","457.60","10,94,320","49.53","33.43","-4.84%","-12.18%","-18.36%","5.99%","83.85%","0.20%","73.50%","75.00%"
"Quantum Gold Fund ETF","97.68","2.06%","449.33","3,12,954","101.30","59.99","12.74%","20.89%","54.09%","127.64%","122.81%","0.60%","73.50%","-"
"DSP Nifty Liquid ETF","1,000.00","-","438.73","1,54,746","1,020.00","980.55","-","-","-","-","-","0.30%","80.00%","94.00%"
"Mirae Asset Nifty Financial Service ETF","27.27","1.38%","425.38","2,58,860","28.70","21.00","2.44%","-2.43%","8.73%","35.81%","35.81%","0.12%","73.50%","-"
"Mirae Asset Nifty 200 Alpha 30 ETF","24.32","1.00%","422.92","4,15,636","29.10","19.61","-2.33%","-6.28%","-16.11%","45.54%","45.54%","0.47%","80.00%","-"
"DSP Nifty Private Bank ETF","27.39","2.01%","416.09","11,79,583","28.90","23.63","2.89%","-3.93%","2.09%","18.67%","18.67%","0.16%","73.50%","-"
"Edelweiss Silver ETF","145.99","2.67%","410.04","5,49,564","148.05","86.27","17.92%","34.75%","59.13%","94.65%","94.65%","0.45%","73.50%","-"
"Edelweiss Gold ETF","118.10","2.03%","398.56","3,05,753","119.00","75.00","12.80%","20.26%","53.38%","81.69%","81.69%","0.45%","73.50%","-"
"Invesco India Gold ETF","10,306.05","2.54%","387.68","728","10,279.95","6,460.00","12.97%","21.35%","54.87%","128.52%","124.29%","0.55%","73.50%","-"
"Kotak Nifty IT ETF","36.88","0.68%","376.04","2,46,737","49.50","32.55","-5.31%","-12.19%","-18.62%","-5.24%","-5.24%","0.09%","73.50%","-"
"Mirae Asset Nifty MS400 MQ 100 ETF","47.46","1.17%","367.18","2,80,029","55.10","40.00","-0.75%","-7.11%","-13.24%","-4.49%","-4.49%","0.46%","80.00%","-"
"Axis Nifty Bank ETF","569.95","1.27%","362.96","25,995","589.90","485.00","2.54%","-3.21%","5.22%","48.69%","109.44%","0.20%","73.50%","-"
"Nippon Auto ETF (AUTOBEES)","275.41","0.54%","349.15","1,64,495","287.31","197.07","4.57%","13.22%","-0.21%","118.41%","137.89%","0.22%","73.50%","80.00%"
"Bajaj Finserv Nifty Bank ETF","56.09","1.17%","345.79","74,492","65.00","47.00","2.35%","-3.19%","5.27%","22.92%","22.92%","0.13%","73.50%","-"
"ICICI Pru Nifty Infrastructure ETF","91.84","-0.86%","343.67","1,18,219","98.64","77.65","-0.15%","-4.91%","-6.31%","25.34%","25.34%","0.50%","73.50%","-"
"Mirae Asset Silver ETF","142.39","1.93%","339.64","12,02,218","143.70","83.55","18.05%","35.49%","59.42%","90.87%","90.87%","0.35%","73.50%","-"
"ICICI Pru BSE 500 ETF","38.75","0.86%","313.20","79,242","42.93","33.00","1.15%","-2.61%","-5.19%","20.68%","151.46%","0.32%","80.00%","-"
"Mirae Asset Nifty 1D Rate Liquid ETF","1,052.96","0.03%","311.86","69,111","1,240.88","994.83","0.44%","1.32%","5.15%","5.15%","5.15%","0.15%","80.00%","94.00%"
"Nippon India Nifty 100 ETF (NIF100BEES)","268.90","0.70%","310.22","15,036","287.00","230.35","0.61%","-2.23%","-4.89%","50.27%","124.08%","0.50%","80.00%","-"
"Groww Nifty EV & New Age Automotive ETF","31.06","1.34%","280.37","3,25,306","35.55","23.00","1.64%","5.83%","-11.36%","-6.73%","-6.73%","0.47%","73.50%","-"
"Aditya Birla Sensex ETF","80.95","0.76%","278.78","1,685","85.76","61.47","0.92%","-2.62%","-3.78%","47.37%","-85.75%","0.04%","80.00%","-"
"Nippon 5 Year G-Sec ETF (GILT5YBEES)","63.20","0.45%","267.05","2,36,614","71.00","57.60","1.35%","1.04%","8.87%","28.09%","32.49%","0.09%","80.00%","90.00%"
"Mirae Asset Nifty Bank ETF","561.20","1.06%","255.24","3,984","582.81","481.38","2.19%","-3.60%","5.02%","12.50%","12.50%","0.10%","73.50%","-"
"Motilal Oswal Nifty 500 Momentum 50 ETF","50.87","1.07%","235.89","4,35,731","66.00","42.40","0.51%","-6.90%","-21.00%","-20.76%","-20.76%","0.41%","80.00%","93.44%"
"Groww Nifty India Defence ETF","79.70","1.54%","231.66","4,40,128","93.89","49.83","5.10%","-10.72%","17.79%","17.79%","17.79%","0.43%","72.56%","-"
"Angel One Nifty 1D Rate Liquid ETF","1,027.98","0.03%","226.63","29,307","1,060.00","908.58","0.44%","1.31%","2.64%","2.64%","2.64%","0.27%","80.00%","94.00%"
"BNP Paribas Gold ETF","114.00","1.42%","214.08","3,30,087","123.95","69.45","11.93%","20.38%","53.02%","84.02%","84.02%","0.59%","73.50%","-"
"Mirae Asset Nifty India Mfg. ETF","151.16","0.69%","213.06","13,447","160.44","119.50","2.81%","2.46%","-4.55%","52.35%","52.35%","0.53%","73.50%","-"
"ICICI Pru Nifty Fin Svc Ex-Bank ETF","30.23","1.10%","206.66","3,78,264","32.37","24.13","3.28%","-3.60%","6.71%","32.41%","32.41%","0.20%","73.50%","-"
"ICICI Pru Nifty Oil & Gas ETF","11.47","0.44%","206.17","18,40,252","13.42","9.42","3.43%","-3.86%","-12.24%","-10.18%","-10.18%","0.40%","73.50%","80.00%"
"Aditya Birla Nifty IT ETF","36.16","0.70%","195.88","27,492","49.77","33.41","-4.92%","-12.13%","-18.47%","33.43%","2.47%","0.19%","73.50%","-"
"Nippon Nifty Cons. ETF (CONSUMBEES)","134.98","0.58%","195.66","1,59,627","143.20","110.86","-0.63%","3.18%","-4.61%","60.06%","152.16%","0.31%","73.50%","80.00%"
